group,name , code
"Coha lëkure dhe tekstile, materiale plastike dhe gomë","Lëkure dhe pëlhura tekstile, plastike dhe materiale gome",19000000-6
,Lëkurë,19100000-7
,Lëkurë chamois,19110000-0
,Lëkurë e gjedhëve ose kuajve,19120000-3
,"Lëkurë e deleve, dhive ose derrave",19130000-6
,Lëkurë e deleve ose qengji,19131000-3
,Lëkurë dhie ose keci,19132000-0
,Lëkurë derri,19133000-7
,"Lëkurë e kafshëve të tjera, lëkurë e përbërë dhe lëkura të tjera",19140000-9
,Lëkurë e kafshëve të tjera,19141000-6
,Lëkurë e përbërë,19142000-3
,Lëkurë e imituar,19143000-0
,Lëkurë e lustruar,19144000-7
,Rrip ore,19160000-5
,Artikuj lëkure të përdorura në makineri ose pajisje mekanike,19170000-8
,Pëlhura tekstile dhe sende të ngjashme,19200000-8
,Pëlhura të endura,19210000-1
,Pëlhura sintetike të endura,19211000-8
,Pëlhura të endura të përziera,19211100-9
,Pëlhura të endura prej pambuku,19212000-5
,Tik-tak,19212100-6
,Xhins,19212200-7
,Kanavacë,19212300-8
,Artikuj kanavace,19212310-1
,Puplin,19212400-9
,Rrip i trashë pëlhure,19212500-0
,Shirita rrip i trashë pëlhure,19212510-3
,Pëlhura të leshta,19220000-4
,Pëlhura prej liri,19230000-7
,Lino,19231000-4
,Pëlhura të veçanta,19240000-0
,Stive,19241000-7
,Sfungjer,19242000-4
,Pëlhura tapicerie,19243000-1
,Pëlhurat perdesh,19244000-8
,Pëlhura linoje,19245000-5
,Pëlhura të thurura ose me grep,19250000-3
,Pëlhura të thurura,19251000-0
,Pëlhura grumbull,19251100-1
,Pëlhura me grep,19252000-7
,Cohë,19260000-6
,Pëlhura jo të endura,19270000-9
,"Lëkurë, gëzof dhe lesh kafshësh",19280000-2
,Lesh,19281000-9
,Lëkurat e kafshëve,19282000-6
,Lëkura dhe pupla zogu,19283000-3
,Fije tekstile dhe penj,19400000-0
,Fibra tekstile natyrale,19410000-3
,Fibra tekstile artificiale,19420000-6
,Fije tekstile dhe penj fibrash natyrore,19430000-9
,Fije mëndafshi,19431000-6
,Fije leshi,19432000-3
,Fije pambuku,19433000-0
,Fije liri,19434000-7
,Fije për qepje dhe fill prej fibrave natyrale,19435000-4
,Penj qepjeje,19435100-5
,Fije për thurje,19435200-6
,"Perime fije tekstile, fibra",19436000-1
,Penj ose fije sintetike,19440000-2
,Fije sintetike,19441000-9
,Penj sintetike,19442000-6
,Penj sintetike për qepje,19442100-7
,Fije sintetike për thurje,19442200-8
,Gome dhe materiale plastike,19500000-1
,Produkte të gomës,19510000-4
,"Gome tuba brendshme, treads dhe flaps",19511000-1
,Flaps tyre,19511100-2
,Tuba të brendshëm,19511200-3
,Treads tyre,19511300-4
,Artikuj të pavullkanizuar gome,19512000-8
,Pëlhura tekstile gome,19513000-5
,Pëlhurë tyre-kurrizit,19513100-6
,Shirit ngjitës i pëlhurave tekstile të gomës,19513200-7
,Gome e bonifikuar,19514000-2
,Produkte plastike,19520000-7
,Produkte polistireni,19521000-4
,Mbulesë polistireni,19521100-5
,Pllaka polistireni,19521200-6
,Rrëshirë,19522000-1
,Rrëshirë epoxy,19522100-2
,Prodhim tubash me rrëshirë epoxy,19522110-5
,"Mbeturina lëkure, tekstile, gome dhe plastike",19600000-2
,Mbeturina lëkure,19610000-5
,Mbeturina tekstilesh,19620000-8
,Mbeturina të gomës,19630000-1
,Mbeturina polietileni dhe thasë e qese mbetutinash,19640000-4
,Gome dhe fibra sintetike,19700000-3
,Gome sintetike,19710000-6
,Fibra sintetike,19720000-9
,Kavo me filamente sintetike,19721000-6
,Fije me qëndrueshmëri të lartë,19722000-3
,Fije me strukturë teke,19723000-0
,Monofilamente sintetike,19724000-7
,Fibra artificiale,19730000-2
,Fibrave me lëndë të parë artificiale,19731000-9
,Polipropilene,19732000-6
,Fije me strukturë artificiale,19733000-3
"Hotele, restorante dhe shërbime të shitjes me pakicë","Shërbime hotelerie, restorantesh dhe shërbime të tregtisë me pakicë",55000000-0
,Shërbime hoteliere,55100000-1
,Shërbime të akomodimit në hotele,55110000-4
,Shërbime hotelerie për takime dhe konferenca,55120000-7
,Shërbime të tjera hoteliere,55130000-0
,Kampingje dhe strehime të tjera jo-hotelerie,55200000-2
,Shërbime hostel për të rinjtë,55210000-5
,Shërbime për akomodimin në kampingje,55220000-8
,Shërbime për akomodimin në zonat për rulota,55221000-5
,Shërbime në qendrat dhe shtëpitë e pushimit,55240000-4
,Shërbime në qendrat e pushimit,55241000-1
,Shërbime në shtëpitë e pushimit,55242000-8
,Shërbime në kampet e pushimit për fëmijë,55243000-5
,Shërbime për dhënien me qira dhe akomodimin për kohë të shkurtër,55250000-7
,Shërbime vagonash me shtrat,55260000-0
,Shërbime të ofruara nga pensionet,55270000-3
,Shërbime restorant dhe shpërndarjeje ushqimesh,55300000-3
,Shërbime restorantesh me kamerierë,55310000-6
,Shërbime restoranti me kamerier për klientelë të kufizuar,55311000-3
,Shërbime restoranti me kamerier për klientelë të pakufizuar,55312000-0
,Shërbime për shpërndarjen e vakteve,55320000-9
,Shërbime për gatimin e vakteve,55321000-6
,Shërbime për përgatitjen e vakteve,55322000-3
,Shërbime kafeterie,55330000-2
,Shërbime për shpërndarjen e pijeve,55400000-4
,Shërbime për menaxhimin e bareve,55410000-7
,Shërbime në mensa dhe shërbime katering,55500000-5
,Shërbime në mensa,55510000-8
,Shërbime mense dhe shërbime të tjera kafeterie për klientelë të kufizuar,55511000-5
,Shërbime për menaxhimin e mensave,55512000-2
,Shërbime katering,55520000-1
,Shërbimet katering për ekonomitë familjare private,55521000-8
,Shërbime vakte-mbi-rrota,55521100-9
,Shërbime për ofrimin e vakteve,55521200-0
,Shërbime hotelierike për ndërmarrjet e transportit,55522000-5
,Shërbime hotelierike për ndërmarrje të tjera apo institucione të tjera,55523000-2
,Shërbime për mensat shkollore,55523100-3
,Shërbime për katering në shkolla,55524000-9
,Shërbime të shitjes me pakicë,55900000-9
"Instrumenta muzikorë, mallra sportive, lojëra, lodra, produkte artizanale, materiale arti dhe aksesorë","Instrumente muzikore, mallrave sportive, lojra, lodra, artizanale, materiale të
artit dhe pajisje",37000000-8
,Instrumente dhe pjesë muzikore,37300000-1
,Vegla muzikore,37310000-4
,Instrumente me tastierë,37311000-1
,Piano,37311100-2
,Akorde,37311200-3
,Vegla muzikore,37311300-4
,Celestas,37311400-5
,Instrumente bronzi,37312000-8
,Bori,37312100-9
,Tromba,37312200-0
,Sousaphones,37312300-1
,Saksofone,37312400-2
,Bilbil,37312500-3
,Bori,37312600-4
,Saxhorns,37312700-5
,Mellophones,37312800-6
,"Alto, bariton, flugel dhe brirët frëngjisht",37312900-7
,Brirë alto,37312910-0
,Brirë bariton,37312920-3
,Brirë flügel,37312930-6
,Brirë franceze,37312940-9
,Instrumenta me tela,37313000-5
,Instrumente harpa,37313100-6
,Clavichords,37313200-7
,Kitara,37313300-8
,Violina,37313400-9
,Harqe,37313500-0
,Banjo,37313600-1
,Mandolina,37313700-2
,Violincele,37313800-3
,Base,37313900-4
,Instrumente me ere,37314000-2
,Klarineta,37314100-3
,Oboe,37314200-4
,Brire muzikore dhe flaute,37314300-5
,Brire muzikore,37314310-8
,Flaute muzikore,37314320-1
,Piccolos,37314400-6
,Gajde,37314500-7
,Saze,37314600-8
,Kazoos,37314700-9
,Brire angleze,37314800-0
,Ocarinas,37314900-1
,Instrumente te amplifikuar,37315000-9
,Sintetizues,37315100-0
,Instrumente me perkusion,37316000-6
,Cembale,37316100-7
,Zile (instrument),37316200-8
,Dajre,37316300-9
,Kasanjeta,37316400-0
,Bateri (instrument),37316500-1
,Ksilofon,37316600-2
,Vibrafon,37316700-3
,Pjese dhe aksesore per instrumente muzikore,37320000-7
,Aksesore per instrumente muzikore,37321000-4
,Metronomes,37321100-5
,Fyell,37321200-6
,Pajisje për instrumente me tela,37321300-7
,Tela ose kunja per instrumente,37321400-8
,Aksesore per instrumente me perkusion,37321500-9
,Canta ose kellefe per instumente muzikore,37321600-0
,Kambalec per instrumente muzikore ose mbajtese fletesh,37321700-1
,Pjese per instrumente muzikore,37322000-1
,Kunja intonimi,37322100-2
,Kuti muzikore ose mekanizma,37322200-3
,Pjese per gojen,37322300-4
,Eleminues zeri,37322400-5
,Shufra intonimi,37322500-6
,Shkopinj dirigjimi,37322600-7
,Tapa piccolo per flaut,37322700-8
,Mallra dhe pajisje sportive,37400000-2
,Pajisje per sporte ne natyre,37410000-5
,Pajisje dimerore,37411000-2
,Pajisje per ski,37411100-3
,Cizme per ski,37411110-6
,Ski,37411120-9
